#SDSSJ             PMF             RA        DEC
140908.68+170242.4 2758-54523-0247 212.28617  17.04512
141311.70+085309.3 5452-55957-0980 213.29878   8.88594
144929.44+444432.8 6046-56096-0732 222.37267  44.74247
150218.64+422607.1 6054-56089-0634 225.57768  42.43533
150323.11-004827.8 0310-51990-0131 225.84630  -0.80774
160614.41+363834.2 4964-55749-0556 241.56006  36.64284
160625.39+515241.8 2187-54270-0229 241.60580  51.87828
162820.24+394907.5 1172-52759-0484 247.08437  39.81877
162953.16+220634.5 1658-53240-0584 247.47154  22.10961
163434.48+314114.9 1340-52781-0371 248.64370  31.68749
163645.41+281233.9 2948-54553-0501 249.18921  28.20943
165634.74+231256.4 3290-54941-0378 254.14477  23.21568
170313.69+434929.4 6062-56091-0539 255.80705  43.82484
180525.06+230715.4 2195-54234-0187 271.35442  23.12095
190812.92+773029.6 1857-53182-0249 287.05385  77.50823
191933.87+365013.4 2800-54326-0215 289.89113  36.83708
192440.58+770918.9 1857-53182-0088 291.16911  77.15525
204038.41-010215.7 0981-52435-0181 310.16005  -1.03770
205441.04+025655.3 2815-54414-0629 313.67102   2.94870
220928.59-072109.9 0718-52206-0510 332.36916  -7.35276
222704.16+274008.5 5956-56104-0968 336.76736  27.66903
231919.14+523235.8 1662-52970-0270 349.82978  52.54329
233240.02+272626.2 6514-56487-0404 353.16679  27.44062
234734.06+210139.9 6117-56272-0276 356.89193  21.02776
