#,Name,RA,Dec,RA (decimal),"RA (deg, dec)",Dec (decimal),Class,Hipparcos,Tycho,Average B/V mag,Teff, e_Teff,Log g,e_log g,log y,e_log y,Reference,E(B-V),e_E(B-V),AV,FUV (GALEX),e_FUV (GALEX),NUV (GALEX),e_NUV (GALEX),F (GSC),e_F (GSC),Bj (GSC),e_Bj (GSC),V (GSC),e_V (GSC),N (GSC),e_N (GSC),B (GSC),e_B (GSC),V (APASS),e_V (APASS),B (APASS),e_B (APASS),g (APASS),e_g (APASS),r (APASS),e_r (APASS),I (APASS),e_i (APASS),u (SDSS),e_u (SDSS),g (SDSS),e_g (SDSS),r (SDSS),e_r (SDSS),I (SDSS),e_i (SDSS),z (SDSS),e_z (SDSS),u (VST),e_u (VST),g (VST),e_g (VST),r (VST),e_r (VST),I (VST),e_i (VST),z (VST),e_z (VST),J (2MASS),e_J (2MASS),H (2MASS),e_H (2MASS),K (2MASS),e_K (2MASS),Y (UKIDSS),e_Y (UKIDSS),J (UKIDSS),e_J (UKIDSS),H (UKIDSS),e_H (UKIDSS),K (UKIDSS),e_K (UKIDSS),Z (VISTA),e_Z (VISTA),Y (VISTA),e_Y (VISTA),J (VISTA),e_J (VISTA),H (VISTA),e_H (VISTA),Ks (VISTA),e_Ks (VISTA),W1,e_W1,W2,e_W2,W3,e_W3,W4,e_W4,PM_RA (SDSS),e_PM_RA (SDSS),PM_DEC (SDSS),e_PM_DEC (SDSS),PM_RA (UCAC4),e_PM_RA (UCAC4),PM_DEC (UCAC4),e_PM_DEC (UCAC4),PM_RA (PPMXL),e_PM_RA (PPMXL),PM_DEC (PPMXL),e_PM_DEC (PPMXL),PM_RA (USNO),e_PM_RA (USNO),PM_DEC (USNO),e_PM_DEC (USNO),PM_RA (APOP),e_PM_RA (APOP),PM_DEC (APOP),e_PM_DEC (APOP),PM_RA (URAT1),e_PM_RA (URAT1),PM_DEC (URAT1),e_PM_DEC (URAT1),PM_RA (SPM4),e_PM_RA (SPM4),PM_DEC (SPM4),e_PM_DEC (SPM4),CRTS DR2,SWASP,,,,,,,,,,,,,,,,
PG,2359+197,00:02:08.45,19:59:12.80,0.035681,0.535208,19.986889,sdB+WD,,,15.4,31434,500,5.56,0.05,-3.58,0.05,Lisker05,0.0347,0.0015,0.107,14.372,0.014,14.714,0.007,15.760,0.300,15.400,0.330,15.730,0.240,15.900,0.380,15.110,0.350,15.639,0.061,15.400,0.006,15.410,0.053,15.887,0.106,,,15.163,0.005,15.589,0.003,15.812,0.003,16.124,0.004,16.442,0.010,,,,,,,,,,,16.234,0.092,16.227,0.212,17.160,,,,,,,,,,,,,,,,,,,,16.701,0.117,16.394,,12.444,,9.166,,-12.0,2.0,1.0,2.0,-12.1,2.8,-1.7,3.9,-11.9,5.3,2.3,5.3,-14.0,,6.0,1.0,-5.8,1.3,2.0,1.5,-8.9,5.6,-5.4,5.6,,,,,const,too faint,,,,,,,,,,,,,,,,
SDSSJ,000307.06+241211.6,00:03:07.06,24:12:11.6,0.051961,0.779417,24.203222,sdB,,,16.1,,,,,,,,0.0934,0.0054,0.290,16.060,0.015,16.116,0.007,16.510,0.420,16.180,0.320,15.310,0.230,16.260,0.310,16.170,0.300,16.300,0.156,16.292,0.072,16.254,,16.718,,,,16.150,0.006,16.164,0.003,16.545,0.004,16.798,0.005,17.056,0.013,,,,,,,,,,,16.628,0.139,16.085,,17.106,,,,,,,,,,,,,,,,,,,,17.214,0.203,16.104,,11.821,,8.644,,2.0,2.0,4.0,2.0,5.6,4.4,3.2,5.0,-2.6,5.1,4.1,5.1,,1.0,6.0,2.0,5.8,2.0,5.2,1.5,-2.5,5.6,-6.8,5.6,,,,,const,too faint,,,,,,,,,,,,,,,,
FB,1,00:03:22.06,-23:38:57.99,0.056128,0.841917,-23.649442,sdB+WD,,,13.2,25000,1250,5.60,0.20,,,Kupfer15,0.0169,0.0010,0.052,12.719,0.005,13.747,0.005,13.380,0.310,13.140,0.240,,,13.490,0.380,13.360,0.340,13.282,0.035,13.101,0.021,13.085,0.040,13.520,0.048,13.855,0.035,,,,,,,,,,,,,,,,,13.8030,0.0008,14.0460,0.0015,13.868,0.029,14.017,0.047,14.061,0.052,,,,,,,,,,,,,,,,,,,14.090,0.030,14.143,0.054,12.377,,9.117,,,,,,4.2,2.5,-17.9,1.7,-2.9,3.6,-21.8,3.6,,4.0,-12.0,2.0,9.2,3.0,-18.1,1.8,,,,,6.4,2.3,-14.3,2.2,const,not covered,,,,,,,,,,,,,,,,
MCT,0000-1637,00:03:24.37,-16:21:06.33,0.056769,0.851542,-16.351758,sdB+F/G,,,12.6,,,,,,,,0.0198,0.0010,0.062,12.687,0.007,12.947,0.003,12.610,0.390,12.580,0.260,,,12.680,0.390,12.660,0.400,12.620,0.023,12.543,0.008,12.528,0.018,12.771,0.020,12.979,0.052,,,,,,,,,,,,,,,,,13.0029,0.0005,13.0926,0.0009,12.688,0.026,12.619,0.026,12.596,0.026,,,,,,,,,,,,,,,,,,,12.567,0.023,12.622,0.029,12.622,,9.034,,,,,,17.0,1.6,-3.2,1.4,17.9,2.5,-2.9,2.4,16.0,4.0,6.0,2.0,23.6,1.6,0.3,1.7,,,,,,,,,saturated,not covered,,,,,,,,,,,,,,,,
PG,0001+275,00:03:55.61,27:48:35.79,0.065447,0.981708,27.809942,sdB+WD,,,13.2,25400,500,5.30,0.10,,,Kupfer15,0.0475,0.0017,0.147,,,12.969,0.004,13.260,0.420,13.230,0.430,13.450,0.320,13.560,0.430,12.970,0.420,13.314,0.023,13.130,0.056,13.119,0.047,13.518,0.043,13.827,0.068,13.108,0.003,13.447,0.003,13.494,0.007,14.174,0.006,14.231,0.004,,,,,,,,,,,13.833,0.024,13.971,0.041,14.023,0.057,,,,,,,,,,,,,,,,,,,13.992,0.027,13.948,0.045,12.380,0.433,9.245,,5.0,3.0,-19.0,3.0,3.3,1.9,-20.4,1.2,-0.7,2.3,-22.2,2.3,4.0,1.0,-16.0,3.0,5.3,1.3,-18.9,1.6,3.3,5.5,-20.4,5.5,,,,,const,const,,,,,,,,,,,,,,,,
SDSSJ9/10,000426.61-003826.2,00:04:26.61,-00:38:26.2,0.074058,1.110875,0.640611,sdOB,,,,37070,0,5.64,0.00,-0.68,0.00,Nemethprep,0.0370,0.0060,0.115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not covered,too faint,,,,,,,,,,,,,,,,
MCT,0001-2443,00:04:31.00,-24:26:21.19,0.075278,1.129167,-24.439219,He-sdO,,,13.7,40975,1000,5.94,0.10,2.97,0.10,Stroeer07,0.0166,0.0003,0.052,12.902,0.006,13.823,0.005,13.930,0.200,13.680,0.210,,,14.090,0.340,13.720,0.240,13.860,0.026,13.634,0.012,13.636,0.029,14.094,0.062,14.499,0.043,,,,,,,,,,,,,,,,,,,14.6806,0.0022,14.535,0.033,14.731,0.064,14.759,0.113,,,,,,,,,,,,,,,,,,,14.823,0.036,14.850,0.089,12.544,0.445,9.092,,,,,,13.5,1.2,-32.1,1.2,8.5,8.1,-29.7,8.1,6.0,2.0,-26.0,3.0,16.0,2.4,-29.1,1.8,,,,,14.9,2.4,-30.4,2.2,const,const,,,,,,,,,,,,,,,,
GALEX,J00046+4132,00:04:39.67,41:32:33.64,0.077686,1.165292,41.542678,sdB,,,15.2,,,,,,,,0.0705,0.0014,0.219,13.619,0.007,14.162,0.003,15.160,0.380,15.050,0.350,15.230,0.260,15.470,0.350,15.030,0.420,15.158,0.080,15.325,0.161,15.213,0.114,15.348,0.043,15.704,0.039,,,,,,,,,,,,,,,,,,,,,15.679,0.065,15.938,0.201,15.872,0.219,,,,,,,,,,,,,,,,,,,16.003,0.056,16.125,0.173,13.190,,9.537,,,,,,1.0,7.0,2.3,3.1,5.1,5.1,-2.5,5.1,,,,,,,,,-3.2,5.5,9.0,5.5,,,,,const,too faint,,,,,,,,,,,,,,,,
MCT,0002-2648,00:05:09.58,-26:31:48.43,0.085994,1.289917,-26.530119,sdB,,,15.7,,,,,,,,0.0130,0.0003,0.040,14.814,0.017,15.089,0.012,15.920,0.400,15.850,0.290,,,16.330,0.420,15.370,0.420,16.013,0.161,15.952,0.052,15.847,0.011,16.262,0.080,,,,,,,,,,,,,15.3690,0.0029,15.7899,0.0014,16.2593,0.0020,16.5140,0.0032,16.7990,0.0079,16.249,0.104,16.012,,15.776,,,,,,,,,,,,,,,,,,,,16.524,0.106,16.288,0.307,12.726,,8.465,,,,,,0.4,3.8,-4.9,3.7,5.8,5.0,-7.8,5.0,,,,,1.4,1.5,-1.3,1.5,,,,,-1.0,9.4,0.3,8.9,const,too faint,,,,,,,,,,,,,,,,
SDSSJ9/10,000552.02+064920.2,00:05:52.02,06:49:20.2,0.097783,1.466750,6.822278,sdB/BHB,,,16.8,22490,0,4.63,0.00,-2.00,0.00,Nemethprep,0.0368,0.0022,0.114,16.685,0.025,16.753,0.018,16.860,0.400,16.660,0.410,17.080,0.290,17.070,0.440,16.760,0.400,,,,,,,,,,,16.737,0.007,16.581,0.005,16.981,0.006,17.264,0.007,17.479,0.013,,,,,,,,,,,,,,,,,17.172,0.018,17.145,0.027,17.129,0.056,17.337,0.092,,,,,,,,,,,,,,,,,,,6.0,3.0,-1.0,3.0,,,,,2.2,5.8,-6.6,5.8,,,,,-0.3,0.7,-0.8,2.5,,,,,,,,,const,too faint,,,,,,,,,,,,,,,,
MCT,0003-3509,00:05:56.68,-34:53:06.48,0.099078,1.486167,-34.885133,sdB,,,15.2,,,,,,,,0.0129,0.0003,0.040,14.335,0.005,14.820,0.004,15.170,0.380,15.300,0.260,,,14.870,0.420,,,15.277,0.048,15.356,0.033,15.264,0.019,15.333,0.136,,,,,,,,,,,,,14.9531,0.0025,15.2913,0.0010,15.3220,0.0013,,,15.3282,0.0028,14.777,0.043,14.540,0.047,14.367,0.078,,,,,,,,,14.876,0.001,14.794,0.002,14.554,0.002,14.228,0.002,14.136,0.004,14.138,0.029,14.242,0.050,12.430,,9.138,,,,,,8.4,2.6,-3.2,2.7,9.2,12.3,-0.4,12.3,-4.0,7.0,14.0,5.0,,,,,,,,,5.8,7.1,-2.1,7.1,const,not covered,,,,,,,,,,,,,,,,
SDSSJ,000607.88-010320.8,00:06:07.88,-01:03:20.8,0.102189,1.532833,-1.055778,He-sdO,,,17.3,45810,0,6.16,0.00,1.46,0.00,Nemethprep,0.0317,0.0011,0.098,16.121,0.015,16.521,0.011,17.860,0.350,17.420,0.340,,,17.910,0.400,17.430,0.350,,,,,,,,,,,17.004,0.008,17.426,0.005,17.917,0.007,18.263,0.009,18.536,0.030,,,,,,,,,,,,,,,,,18.212,0.033,18.513,0.074,18.558,0.143,18.338,0.217,,,,,18.465,0.062,18.551,0.120,18.717,0.236,,,,,,,,,1.0,3.0,-13.0,3.0,,,,,0.6,5.1,-8.6,5.1,,,,,-1.7,1.5,-13.6,1.5,,,,,,,,,not covered,too faint,,,,,,,,,,,,,,,,
LBQS,0003+0053,00:06:22.63,01:09:58.93,0.106286,1.594292,1.166369,sdBp,,,18.7,,,,,,,,0.0247,0.0014,0.077,17.328,0.028,17.764,0.021,19.250,0.420,18.630,0.370,19.300,0.440,,,18.740,0.390,,,,,,,,,,,18.376,0.015,18.685,0.008,19.165,0.012,19.461,0.020,19.839,0.089,,,,,,,,,,,,,,,,,19.639,0.096,,,,,,,,,,,19.593,0.148,,,,,,,,,,,,,-3.0,3.0,-1.0,3.0,,,,,-2.5,5.6,-3.7,5.6,,,,,-2.2,1.6,-4.7,3.7,,,,,,,,,const,too faint,,,,,,,,,,,,,,,,
SDSSJ,000645.56+250738.5,00:06:45.56,25:07:38.5,0.112656,1.689833,25.127361,sdOB,,,19.3,,,,,,,,0.0424,0.0026,0.132,18.608,0.060,18.795,0.023,19.970,0.540,19.250,0.350,18.760,0.520,,,19.370,0.340,,,,,,,,,,,19.318,0.029,19.587,0.014,20.070,0.023,20.382,0.037,20.184,0.139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.0,4.0,-1.0,4.0,,,,,-6.8,5.9,1.0,5.9,,,,,,,,,,,,,,,,,const,too faint,,,,,,,,,,,,,,,,
MCT,0004-2737,00:06:46.25,-27:20:53.40,0.112847,1.692708,-27.348167,sdOB,,,13.7,37500,1100,5.94,0.12,-1.62,0.10,Geier13,0.0172,0.0003,0.053,12.816,0.006,14.014,0.005,13.970,0.420,13.800,0.410,,,14.050,0.410,13.690,0.400,13.931,0.044,13.762,0.034,13.735,0.018,14.187,0.021,14.559,0.087,,,,,,,,,,,13.1230,0.0010,13.7081,0.0005,14.2367,0.0007,14.5239,0.0011,14.7761,0.0023,14.538,0.037,14.675,0.059,14.842,0.103,,,,,,,,,,,,,,,,,,,14.813,0.036,14.938,0.090,12.861,,9.220,,,,,,17.3,1.5,-11.9,2.5,19.0,3.3,-10.0,3.3,14.0,3.0,-6.0,4.0,25.2,1.2,-9.2,1.3,,,,,15.1,1.9,-13.8,1.8,const,dip?,,,,,,,,,,,,,,,,
PG,0004+133,00:07:33.76,13:35:57.59,0.126044,1.890667,13.599331,sdB,,,13.5,,,,,,,,0.1100,0.0048,0.341,13.181,0.003,13.400,0.002,13.030,0.320,13.220,0.320,13.160,0.310,13.030,0.320,15.760,0.430,13.131,0.063,13.046,0.013,12.966,0.024,13.269,0.059,13.509,0.059,14.058,0.008,12.967,0.002,13.241,0.002,15.060,0.015,14.439,0.009,,,,,,,,,,,13.288,0.024,13.326,0.026,13.384,0.039,13.235,0.002,13.263,0.001,13.308,0.002,13.398,0.004,,,,,,,,,,,13.457,0.027,13.494,0.038,12.540,0.475,8.434,,-3.0,2.0,-23.0,2.0,-2.1,1.4,-24.3,1.6,0.4,2.7,-23.1,2.7,-4.0,1.0,-18.0,2.0,,,,,,,,,,,,,const,not covered,,,,,,,,,,,,,,,,
PB,5749,00:07:37.94,00:40:04.68,0.127206,1.908083,0.667967,sdB,,,18.4,,,,,,,,0.0379,0.0015,0.118,21.545,0.194,19.146,0.039,18.490,0.370,18.480,0.360,18.160,0.290,17.770,0.410,18.630,0.370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.400,0.035,18.385,0.045,18.486,0.176,18.602,0.306,,,,,18.224,0.044,18.190,0.076,18.233,0.141,,,,,,,,,0.0,0.0,0.0,0.0,,,,,27.7,5.1,-27.2,5.1,24.0,3.0,-22.0,3.0,33.1,2.9,-27.8,2.7,,,,,,,,,const,too faint,,,,,,,,,,,,,,,,
PG,0005+179,00:08:17.75,18:07:58.68,0.138264,2.073958,18.132967,sdB,,,14.7,,,,,,,,0.0294,0.0014,0.091,12.902,0.005,13.382,0.004,14.530,0.420,14.140,0.360,14.610,0.260,14.630,0.410,14.310,0.380,14.426,0.006,14.176,0.030,14.158,0.008,14.662,0.027,15.004,0.112,15.677,0.010,16.267,0.010,17.102,0.025,16.196,0.011,15.710,0.012,,,,,,,,,,,15.033,0.048,15.095,0.104,15.321,0.156,,,,,,,,,,,,,,,,,,,15.402,0.048,15.712,0.176,12.726,,9.174,,7.0,2.0,-2.0,2.0,11.4,1.6,0.3,1.8,3.8,4.5,-6.1,4.5,2.0,,2.0,5.0,11.4,2.2,0.6,3.1,17.7,6.0,-4.2,6.0,,,,,const,not covered,,,,,,,,,,,,,,,,
MCT,0006-2320,00:08:42.07,-23:04:05.85,0.145019,2.175292,-23.068292,sdB,,,16.9,,,,,,,,0.0173,0.0005,0.054,,,,,17.230,0.370,16.940,0.270,,,17.520,0.430,16.780,0.380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4,5.8,-8.8,5.8,,,,,,,,,,,,,,,,,const,too faint,,,,,,,,,,,,,,,,
PB,5761,00:08:43.20,02:07:53.29,0.145333,2.180000,2.131469,sdO,,,18.2,,,,,,,,0.0220,0.0005,0.068,17.260,0.030,17.456,0.023,18.470,0.430,18.230,0.420,18.210,0.250,18.360,0.610,18.340,0.430,,,,,,,,,,,18.011,0.013,18.300,0.007,18.625,0.009,18.822,0.012,19.032,0.040,,,,,,,,,,,,,,,,,18.651,0.068,18.333,0.084,18.095,0.107,18.097,0.174,,,,,,,,,,,,,,,,,,,11.0,3.0,-4.0,3.0,,,,,11.7,5.1,-13.1,5.1,10.0,2.0,-4.0,1.0,4.5,2.5,-8.3,2.5,,,,,,,,,not covered,too faint,,,,,,,,,,,,,,,,
PG,0006+120,00:08:45.28,12:17:18.84,0.145911,2.188667,12.288567,sdB,,,14.5,,,,,,,,0.0711,0.0026,0.220,14.062,0.007,14.311,0.005,14.550,0.420,14.450,0.410,14.690,0.280,14.650,0.430,14.400,0.430,14.637,0.033,14.513,0.027,14.464,0.017,14.798,0.039,15.117,0.108,14.315,0.004,14.394,0.004,14.746,0.005,15.060,0.006,15.340,0.006,,,,,,,,,,,15.022,0.047,15.198,0.138,15.193,0.157,14.965,0.004,15.028,0.005,15.085,0.007,15.202,0.016,,,,,,,,,,,15.290,0.047,15.393,0.136,12.647,,8.920,,23.0,2.0,9.0,2.0,24.8,1.8,7.0,1.9,22.7,3.9,7.6,3.9,22.0,2.0,14.0,4.0,25.0,1.8,2.2,1.2,19.0,6.0,3.1,6.0,,,,,const,not covered,,,,,,,,,,,,,,,,
SDSSJ,000847.25-051217.1,00:08:47.25,-05:12:17.1,0.146458,2.196875,-5.204750,sdB,,,17.4,,,,,,,,0.0250,0.0003,0.078,16.329,0.024,16.738,0.016,17.630,0.420,17.370,0.300,,,17.430,0.430,17.420,0.410,,,,,,,,,,,17.279,0.009,17.386,0.005,17.653,0.006,17.807,0.008,17.896,0.018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.303,0.023,17.165,0.035,17.034,0.070,,,,,,,,,7.0,3.0,-3.0,3.0,,,,,0.9,6.3,-2.0,6.3,,,,,5.0,1.9,-8.0,7.4,,,,,,,,,var RR Lyr?,too faint,,,,,,,,,,,,,,,,
